idgrupo,Descripcion,Cuatrimestre
RJWMKJk3uFZAEskcv,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,5
vQ4omCvsQHhQgNRwc,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,4
dPEbLidd6mPm44xZZ,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,6
TAhx9mwLNjS6BEkGs,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,5
xfkTm6boLx2puuvne,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,2
eLx85PhDcnKuHYLLq,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,2
yCjoGk8mtNDXWK3ro,BACHILLERATO GENERAL CON FORMACIoN PARA EL TRABAJO EN ADMINISTRACIoN,5
MZRGHRG2CADPi2Rbj,Bachillerato General con Formacion para el Trabajo en Informatica,6
Rh65rW6k5K5dyKtrA,Bachillerato General con Formacion para el Trabajo en Informatica,1
QgJwQ27gwrJrntnuS,Bachillerato General en formacion para el trabajo en Informatica,3
CHYu4fKDCQwAEz8Rd,Bachillerato Humanidades,4
gYtBJw7Lw2RFMbZwC,Bachillerato Humanidades,6
h43meSXP43YjbpQTt,Bachillerato Humanidades,4
h9KBEy4tfGa8W5F9P,Bachillerato Humanidades,5
pv2oqPfT7sWXMwLb8,Bachillerato Humanidades,2
hSQdpJnPuh6XXcPFg,Bachillerato Humanidades,3
rG9PuqSpSCjxeGmku,Bachillerato Humanidades,4
HDrS7czF5kai7cWSd,Bachillerato Humanidades,3
zprkySRQz2EpwxrHv,Bachillerato Humanidades Vespertino,1
uCACTDQoLxmkwLjkY,Bachillerato Intensivo Semiescolarizado,3
To6eawEcu3X8YjjH2,Bachillerato Jalisco 2019,2
E26hmFRtPG8BiGvMW,Bachillerato Jalisco 2019,5
bkej3RsmYakmkQwP6,Bachillerato Jalisco 2019,2
AYLk3k4wZqFvTecdW,Bachillerato Jalisco 2019,2
cRERf8sD4KR5gyZ3k,Bachillerato Semiescolariado (Matutino),2
bM9XBfvR42mWHcPCC,Bachillerato Semiescolariado (Matutino),5
2duMdcRqi5tCaZBXN,Bachillerato Semiescolariado (Matutino),2
fqyQ42EHT7i2L7YKw,Bachillerato Semiescolariado (Matutino),2
N9wieRA8a3qh3aj8p,Bachillerato Semiescolariado (Matutino),6
Btt6tReqLPaB86crn,BACHILLERATO SEMIESCOLARIZADO,6
vPcK99nHYT3hyf2Dc,Candy Bar,2
BYq88GCpufdNutuci,CECAP INFORMaTICA,2
yKLH4REAvP7QkBrKa,CECAP informatica,1
XWzysJpN3vto65uhk,CECAP INGLES,1
uYSMRNvpyuDxeg9Dv,CECAP INGLES,6
44ecgvE5h7xZjrgKz,CECAP INGLES,3
2qDfzfY2ddtjmKKeF,CECAP INGLES,2
J2SNFijuFiRqf3Ruy,COCINA INTERNACIONAL,3
w5kL5xzpNgBMDer9s,Diplomado de Titulacion,6
hTgC4uoKHBGqiQXgr,Diplomado de Titulacion,3
K6sRu3bJTjaTE62jz,Diplomado de Titulacion,3
R6KJuFPqYvmY9uqTT,DIPLOMADO EN COCINA SALUDABLE,3
YzTwzHKwwBZLfZwGH,Diplomado en Panaderia y reposteria,6
ReTtMT5GPAcsX35Ko,DIPLOMADO EN REPOSTERIA,1
EXehuXobqJTjc2FCk,DIPLOMADO INGLeS 1era GENERACION,3
gR3HHuoTe4Muq64oG,Disenador Analista En Sistemas Computacionales,1
tnN7YZDDZ6qGigi25,Disenador/ Secundaria,4
76tHqEKjQn4RK4Zer,FORMACIoN PARA EL TRABAJO EN GASTRONOMiA,3
